temperature,cough,sore_throat,nasal_congestion,ARVI_Risk
none,none,none,none,none
none,none,none,mid,low
none,none,none,high,high
none,none,mid,none,low
none,none,mid,mid,mid
none,none,mid,high,high
none,none,high,none,high
none,none,high,mid,high
none,none,high,high,high
none,mid,none,none,low
none,mid,none,mid,mid
none,mid,none,high,high
none,mid,mid,none,mid
none,mid,mid,mid,mid
none,mid,mid,high,high
none,mid,high,none,high
none,mid,high,mid,high
none,mid,high,high,high
none,high,none,none,high
none,high,none,mid,high
none,high,none,high,high
none,high,mid,none,high
none,high,mid,mid,high
none,high,mid,high,high
none,high,high,none,high
none,high,high,mid,high
none,high,high,high,very_high
mid,none,none,none,low
mid,none,none,mid,mid
mid,none,none,high,high
mid,none,mid,none,mid
mid,none,mid,mid,mid
mid,none,mid,high,high
mid,none,high,none,high
mid,none,high,mid,high
mid,none,high,high,high
mid,mid,none,none,mid
mid,mid,none,mid,mid
mid,mid,none,high,high
mid,mid,mid,none,mid
mid,mid,mid,mid,mid
mid,mid,mid,high,high
mid,mid,high,none,high
mid,mid,high,mid,high
mid,mid,high,high,high
mid,high,none,none,high
mid,high,none,mid,high
mid,high,none,high,high
mid,high,mid,none,high
mid,high,mid,mid,high
mid,high,mid,high,high
mid,high,high,none,high
mid,high,high,mid,high
mid,high,high,high,very_high
high,none,none,none,high
high,none,none,mid,high
high,none,none,high,high
high,none,mid,none,high
high,none,mid,mid,high
high,none,mid,high,high
high,none,high,none,high
high,none,high,mid,high
high,none,high,high,very_high
high,mid,none,none,high
high,mid,none,mid,high
high,mid,none,high,high
high,mid,mid,none,high
high,mid,mid,mid,high
high,mid,mid,high,high
high,mid,high,none,high
high,mid,high,mid,high
high,mid,high,high,very_high
high,high,none,none,high
high,high,none,mid,high
high,high,none,high,very_high
high,high,mid,none,high
high,high,mid,mid,high
high,high,mid,high,very_high
high,high,high,none,very_high
high,high,high,mid,very_high
high,high,high,high,very_high
